TZ 06,1 BD,2 BD,3 BD,4 BD
270,368,421,223,65
276,171,247,86,31
277,144,144,26,9
278,328,275,77,18
283,10,4,0,0
284,70,82,54,42
285,221,368,142,46
287,56,86,49,30
288,19,35,21,10
292,134,224,216,115
294,110,200,186,153
508,250,368,274,255
509,604,601,339,144
510,187,227,138,92
511,356,317,193,122
512,411,460,228,157
513,238,274,188,128
515,439,449,184,106
516,653,613,291,132
517,285,323,191,132
518,396,497,292,189
519,107,136,110,89
520,45,47,52,54
521,470,507,277,110
522,197,292,162,77
523,405,505,251,124
524,64,76,92,105
525,319,410,373,198
526,402,578,421,185
527,49,45,53,54
528,449,537,347,216
529,527,478,225,94
530,124,205,192,142
531,795,753,302,123
532,297,254,300,221
533,62,82,75,65
534,61,72,90,90
535,106,132,129,106
536,542,379,220,218
537,315,484,309,139
538,168,254,205,152
539,78,121,131,141
540,296,358,343,267
541,178,229,210,154
542,167,193,206,125
543,346,351,216,187
544,176,132,96,85
545,487,375,235,110
546,309,354,159,73
547,277,300,174,92
548,265,160,158,166
549,82,121,128,127
550,192,220,199,178
551,132,201,222,234
552,31,50,60,55
554,250,338,347,356
555,335,252,227,179
557,215,164,171,185
558,37,59,71,62
