"household id","person id","trip id","pirpose","mode","total travel time","income","travel cost"
"423","3","1","0","3","626.4","1125","335.571"
"751","2","1","0","3","2437.5","745","864.732"
"754","3","1","0","3","403.2","1125","216.000"
"1015","2","1","0","3","496.7","1125","266.089"
"924","2","1","0","3","451.2","1218","261.696"
"356","2","1","0","3","127.0","945","57.150"
"405","1","1","0","2","130.3","1218","75.574"
"477","1","1","0","2","154.1","109","7.999"
"930","1","1","0","2","74.9","1125","40.125"
"366","1","1","0","7","820.5","222","86.739"
"460","1","1","0","7","820.5","1218","475.890"
"494","1","1","0","2","168.9","1891","152.090"
"512","1","1","0","7","740.7","1218","429.606"
"385","2","1","0","3","703.1","1218","407.798"
"274","1","1","0","2","152.0","945","68.400"
"427","1","1","0","2","157.6","1218","91.408"
"455","1","1","0","2","80.9","7847","302.296"
"480","1","1","0","2","95.5","1218","55.390"
"509","1","1","0","2","125.2","358","21.344"
"740","2","1","0","2","1313.1000000000001","745","465.838"
"802","1","2","0","11","166.5","745","59.068"
"902","1","1","0","2","66.7","1125","35.732"
"1020","1","1","0","2","216.7","1125","116.089"
"268","2","1","0","3","966.0","745","342.700"
"775","1","1","0","7","830.3","945","373.635"
"763","2","1","0","3","1019.5","545","264.585"
"400","1","1","0","2","130.3","1891","117.332"
"400","3","1","0","11","130.3","0","0.000"
"449","1","1","0","2","205.5","1218","119.190"
"774","4","1","0","3","2031.9","7847","7592.533"
"285","2","1","0","3","386.9","545","100.410"
"449","1","2","0","2","100.3","1218","58.174"
"273","2","1","0","3","452.0","1518","326.731"
"292","1","1","0","1","61.0","945","27.450"
"366","1","3","0","1","844.4","222","89.265"
"460","1","3","0","1","620.8","1218","360.064"
"494","1","2","0","2","168.9","1891","152.090"
"512","1","3","0","1","1561.5","1218","905.670"
"537","2","1","0","2","79.7","1218","46.226"
"557","4","1","0","3","2255.4","7847","8427.678"
"648","1","1","0","2","258.6","545","67.113"
"722","1","1","0","2","233.0","745","82.660"
"741","2","1","0","2","138.6","222","14.652"
"751","2","2","0","3","1606.5","745","569.925"
"827","1","1","0","2","113.8","1218","66.004"
