O_Tz06,O_Sla06,O_Lga06,O_Ssd06,O_Sd06,O_State,D_Tz06,D_Sla06,D_Lga06,D_Ssd06,D_Sd06,D_Area,O_Zone06_abs,Dzn06_abs,Mode9,Freq,source not in tz,destination in tz,
1534,150,150,535,5,0,520,6550,6550,510,5,1,1101501534,1165500520,7,3,#N/A,520,#N/A
1539,150,150,535,5,0,279,7205,7200,505,5,1,1101501539,1172050279,7,3,#N/A,279,#N/A
871,351,350,520,5,0,549,6550,6550,510,5,1,1103510871,1165500549,7,4,#N/A,549,#N/A
888,351,350,520,5,0,509,6550,6550,510,5,1,1103510888,1165500509,7,3,#N/A,509,#N/A
960,355,350,520,5,0,279,7205,7200,505,5,1,1103550960,1172050279,7,3,#N/A,279,#N/A
961,355,350,520,5,0,279,7205,7200,505,5,1,1103550961,1172050279,7,3,#N/A,279,#N/A
967,355,350,520,5,0,537,6550,6550,510,5,1,1103550967,1165500537,7,3,#N/A,537,#N/A
969,355,350,520,5,0,512,6550,6550,510,5,1,1103550969,1165500512,7,3,#N/A,512,#N/A
2742,501,500,560,5,0,545,6550,6550,510,5,1,1105012742,1165500545,7,3,#N/A,545,#N/A
2800,503,500,560,5,0,279,7205,7200,505,5,1,1105032800,1172050279,7,3,#N/A,279,#N/A
2240,751,750,553,5,0,278,7205,7200,505,5,1,1107512240,1172050278,7,1,#N/A,278,#N/A
2117,752,750,553,5,0,553,6550,6550,510,5,1,1107522117,1165500553,7,3,#N/A,553,#N/A
2158,753,750,553,5,0,287,7205,7200,505,5,1,1107532158,1172050287,7,3,#N/A,287,#N/A
1979,900,900,545,5,0,549,6550,6550,510,5,1,1109001979,1165500549,7,3,#N/A,549,#N/A
406,1100,1100,505,5,0,523,6550,6550,510,5,1,1111000406,1165500523,7,3,#N/A,523,#N/A
407,1100,1100,505,5,0,556,6550,6550,510,5,1,1111000407,1165500556,7,3,407,556,#N/A
407,1100,1100,505,5,0,277,7205,7200,505,5,1,1111000407,1172050277,7,4,407,277,#N/A
408,1100,1100,505,5,0,292,7205,7200,505,5,1,1111000408,1172050292,7,3,408,292,#N/A
409,1100,1100,505,5,0,520,6550,6550,510,5,1,1111000409,1165500520,7,4,409,520,#N/A
409,1100,1100,505,5,0,294,7205,7200,505,5,1,1111000409,1172050294,7,3,409,294,#N/A
414,1100,1100,505,5,0,553,6550,6550,510,5,1,1111000414,1165500553,7,3,414,553,#N/A
416,1100,1100,505,5,0,515,6550,6550,510,5,1,1111000416,1165500515,7,1,#N/A,515,#N/A
416,1100,1100,505,5,0,521,6550,6550,510,5,1,1111000416,1165500521,7,1,#N/A,521,#N/A
416,1100,1100,505,5,0,523,6550,6550,510,5,1,1111000416,1165500523,7,1,#N/A,523,#N/A
417,1100,1100,505,5,0,527,6550,6550,510,5,1,1111000417,1165500527,7,3,#N/A,527,#N/A
422,1100,1100,505,5,0,509,6550,6550,510,5,1,1111000422,1165500509,7,4,422,509,#N/A
422,1100,1100,505,5,0,527,6550,6550,510,5,1,1111000422,1165500527,7,3,422,527,#N/A
422,1100,1100,505,5,0,547,6550,6550,510,5,1,1111000422,1165500547,7,3,422,547,#N/A
423,1100,1100,505,5,0,537,6550,6550,510,5,1,1111000423,1165500537,7,3,#N/A,537,#N/A
1380,1450,1450,530,5,0,287,7205,7200,505,5,1,1114501380,1172050287,7,3,#N/A,287,#N/A
1233,1501,1500,530,5,0,510,6550,6550,510,5,1,1115011233,1165500510,7,3,#N/A,510,#N/A
1233,1501,1500,530,5,0,550,6550,6550,510,5,1,1115011233,1165500550,7,3,#N/A,550,#N/A
