cd_code,TZ06,Regions,CD_percentage_in_TZ
1401202,191,L,0.66
1401213,191,L,0.98
1401201,191,L,1
1401104,192,L,0.01
1401102,192,L,0.05
1402014,192,L,0.14
1401216,192,L,0.86
1401115,192,L,0.91
1401115,196,L,0.09
1401216,196,L,0.14
1401308,196,L,0.24
1401310,196,L,0.27
1401305,196,L,0.32
1401307,196,L,0.35
1401309,196,L,0.85
1401311,196,L,0.85
1401104,197,L,0.01
1401305,197,L,0.55
1401301,197,L,1
1401302,197,L,1
1401303,197,L,1
1401207,199,L,0.01
1402020,199,L,0.59
1401203,200,L,1
1402020,201,L,0.17
1401207,201,L,0.29
1401206,201,L,1
1401208,201,L,1
1401104,202,L,0.01
1401103,202,L,0.1
1401106,202,L,0.14
1402014,202,L,0.16
1401202,202,L,0.34
1401107,202,L,0.71
1401102,202,L,0.95
1401204,202,L,0.99
1401101,202,L,1
1401116,202,L,1
1401001,203,L,0.15
1401105,203,L,0.7
1401106,203,L,0.85
1401103,203,L,0.91
1401104,203,L,0.98
1401008,204,L,0.01
1401105,204,L,0.29
1401001,204,L,0.85
1401207,205,L,0.7
1401217,205,L,0.99
1401209,205,L,1
1401210,205,L,1
1401212,205,L,1
1401214,205,L,1
1401215,205,L,1
1401112,206,L,0.71
1401211,206,L,0.75
1401113,206,L,0.87
1401114,206,L,1
1401204,207,L,0.01
1401113,207,L,0.14
1401211,207,L,0.25
1401112,207,L,0.29
1401107,207,L,0.3
1401108,207,L,1
1401109,207,L,1
1401110,207,L,1
1401111,207,L,1
1401205,207,L,1
1401009,208,L,0.03
1401003,208,L,0.16
1401004,208,L,1
1401005,208,L,1
1401006,208,L,1
1401007,208,L,1
1401012,209,L,0.01
1401003,209,L,0.83
1401106,210,L,0.01
1401008,210,L,0.38
1401011,211,L,0.02
1401008,211,L,0.42
1401008,212,L,0.01
1401008,212,L,0.04
1401009,212,L,0.97
1401011,212,L,0.98
1401002,212,L,0.99
1401012,212,L,0.99
1401010,212,L,1
1401008,213,L,0.14
1401217,237,L,0.01
1402013,237,L,0.6
1400811,259,L,0.75
1400814,259,L,1
1400811,261,L,0.01
1400909,261,L,0.01
1400901,261,L,0.88
1400701,261,L,1
1400702,261,L,1
1400703,261,L,1
1400902,261,L,1
1400903,261,L,1
1400910,261,L,1
1400911,261,L,1
1400912,261,L,1
1400901,262,L,0.12
1400811,262,L,0.24
1400801,262,L,1
1400809,262,L,1
1400810,262,L,1
1400909,263,L,0.29
1400908,263,L,0.47
1400905,263,L,0.72
1400904,263,L,1
1400906,263,L,1
1400907,263,L,1
1400807,268,L,0.42
1400709,268,L,0.62
1400708,268,L,0.7
1400714,268,L,0.98
1400813,268,L,0.98
1400812,268,L,0.99
1400710,268,L,1
1400711,268,L,1
1400712,268,L,1
1400815,268,L,1
1400709,269,L,0.01
1400714,269,L,0.02
1400707,269,L,0.53
1400704,269,L,1
1400705,269,L,1
1400713,269,L,1
1400915,270,G,0.02
1400706,270,G,1
1400717,270,G,1
1400718,270,G,1
1400719,270,G,1
1400720,270,G,1
1400905,271,L,0.28
1400908,271,L,0.53
1400909,271,L,0.71
1400915,271,L,0.98
1400913,271,L,1
1400914,271,L,1
1400509,276,G,1
1400616,276,G,1
1400607,277,G,0.28
1400617,277,G,1
1400708,278,G,0.3
1400709,278,G,0.37
1400721,278,G,0.39
1400707,278,G,0.48
1400720,279,G,0.01
1400721,279,G,0.61
1400607,283,G,0.41
1400716,284,G,1
1400715,285,G,1
1400722,285,G,1
1400723,285,G,1
1400607,287,G,0.29
1400606,287,G,1
1400605,288,G,0.25
1400605,292,G,0.21
1400614,292,G,0.98
1400601,292,G,1
1400614,294,G,0.01
1400605,294,G,0.18
1400602,294,G,1
1400603,294,G,1
1440104,449,L,0.49
1440102,449,L,0.75
1440101,449,L,1
1440105,449,L,1
1401105,454,L,0.01
1440109,454,L,0.74
1440106,454,L,1
1440107,454,L,1
1440108,454,L,1
1401002,507,R,0.01
1401012,507,R,0.01
1430102,507,R,0.88
1430208,508,R,0.11
1430213,508,R,0.36
1430204,508,R,0.94
1430205,508,R,1
1430206,508,R,1
1430207,508,R,1
1430212,508,R,1
1430102,509,R,0.01
1430204,509,R,0.06
1430411,509,R,0.5
1430213,509,R,0.64
1430405,509,R,0.97
1430201,509,R,1
1430202,509,R,1
1430203,509,R,1
1430211,509,R,1
1430412,509,R,1
1430102,510,R,0.09
1430404,510,R,0.94
1430401,510,R,1
1430102,511,R,0.03
1430103,511,R,0.85
1430109,511,R,0.99
1430104,511,R,1
1430406,511,R,1
1430407,511,R,1
1430109,512,R,0.01
1430106,512,R,0.09
1430103,512,R,0.15
1430101,512,R,1
1430105,512,R,1
1430107,512,R,1
1430108,512,R,1
1430110,512,R,1
1430111,512,R,1
1430603,513,R,0.31
1430703,513,R,0.33
1430601,513,R,1
1430602,513,R,1
1430605,513,R,1
1430612,513,R,1
1430613,513,R,1
1430405,514,R,0.02
1430403,514,R,0.04
1430404,514,R,0.06
1430512,514,R,0.92
1430506,515,R,0.62
1430507,515,R,0.73
1430410,515,R,0.95
1430403,515,R,0.96
1430402,515,R,1
1430408,515,R,1
1430409,515,R,1
1430507,516,R,0.27
1430506,516,R,0.38
1430106,516,R,0.91
1430501,516,R,1
1430502,516,R,1
1430503,516,R,1
1430504,516,R,1
1430505,516,R,1
1430511,516,R,1
1430703,517,R,0.67
1430604,517,R,0.68
1430701,517,R,1
1430702,517,R,1
1430711,517,R,1
1430712,517,R,1
1430706,518,R,0.3
1430604,518,R,0.32
1430603,518,R,0.7
1430606,518,R,1
1430607,518,R,1
1430608,518,R,1
1430609,518,R,1
1430610,518,R,1
1430611,518,R,1
1430405,519,R,0.01
1430208,519,R,0.03
1430301,519,R,0.12
1430210,519,R,0.17
1430411,519,R,0.5
1430209,519,R,1
1430311,520,R,0.22
1430210,520,R,0.74
1430403,521,R,0.01
1430410,521,R,0.05
1430512,521,R,0.08
1430809,521,R,0.55
1430508,521,R,1
1430509,521,R,1
1430510,521,R,1
1430513,521,R,1
1430808,521,R,1
1431001,521,R,1
1431002,521,R,1
1430809,522,R,0.45
1430801,522,R,0.99
1430802,522,R,1
1430803,522,R,1
1431003,522,R,1
1430801,523,R,0.01
1430806,523,R,0.17
1430707,523,R,0.21
1430706,523,R,0.58
1430705,523,R,0.98
1430704,523,R,1
1430708,523,R,1
1430804,523,R,1
1430805,523,R,1
1400603,524,R,0.01
1400614,524,R,0.01
1430301,524,R,0.59
1430302,524,R,0.65
1430208,524,R,0.86
1430306,525,R,0.04
1430210,525,R,0.09
1430301,525,R,0.29
1430302,525,R,0.35
1430311,525,R,0.78
1430303,525,R,1
1430304,525,R,1
1430305,525,R,1
