TZ 06,1 BD,2 BD,3 BD,4 BD
270,385,440,233,68
276,179,258,90,32
277,151,151,27,9
278,343,288,81,19
283,10,4,0,0
284,73,86,56,44
285,231,385,149,48
287,59,90,51,31
288,20,37,22,10
292,140,234,226,120
294,115,209,195,160
508,261,385,287,267
509,632,629,355,151
510,196,237,144,96
511,372,332,202,128
512,430,481,238,164
513,249,287,197,134
515,459,470,192,111
516,683,641,304,138
517,298,338,200,138
518,414,520,305,198
519,112,142,115,93
520,47,49,54,56
521,492,530,290,115
522,206,305,169,81
523,424,528,263,130
524,67,79,96,110
525,334,429,390,207
526,420,605,440,193
527,51,47,55,56
528,470,562,363,226
529,551,500,235,98
530,130,214,201,149
531,831,788,316,129
532,311,266,314,231
533,65,86,78,68
534,64,75,94,94
535,111,138,135,111
536,567,396,230,228
537,329,506,323,145
538,176,266,214,159
539,82,127,137,147
540,310,374,359,279
541,186,240,220,161
542,175,202,215,131
543,362,367,226,196
544,184,138,100,89
545,509,392,246,115
546,323,370,166,76
547,290,314,182,96
548,277,167,165,174
549,86,127,134,133
550,201,230,208,186
551,138,210,232,245
552,32,52,63,58
554,261,354,363,372
555,350,264,237,187
557,225,172,179,193
558,39,62,74,65
