TZ id,1 bed,2 bed,3 bed,4 bed
270,438,502,242,70
276,204,294,93,34
277,123,116,25,10
278,405,282,83,34
279,52,85,9,3
283,38,36,2,0
284,83,98,58,45
285,263,438,154,50
287,87,119,53,32
288,23,52,26,9
292,160,270,235,125
294,131,230,204,168
507,54,70,65,76
508,295,410,277,243
509,692,708,366,147
510,181,204,102,50
511,390,356,192,106
512,509,559,245,170
513,305,335,219,143
514,142,123,60,26
515,566,555,214,117
516,717,691,297,139
517,336,398,218,148
518,455,577,291,193
519,136,161,106,83
520,51,58,54,60
521,442,499,239,97
522,232,355,181,80
523,431,533,251,126
524,92,126,142,156
525,391,496,407,226
526,447,633,416,190
527,61,57,56,61
528,525,631,367,229
529,687,639,268,118
530,185,287,231,140
531,940,889,328,134
532,344,305,321,242
533,66,81,92,93
534,52,76,74,61
535,126,157,140,115
536,672,480,262,261
537,362,574,312,158
538,157,299,211,170
539,149,138,153,151
540,371,443,387,290
541,219,270,244,160
542,180,235,218,139
543,413,412,236,191
544,194,161,116,91
545,578,431,229,107
546,354,415,168,87
547,369,384,209,119
548,311,188,172,182
549,122,150,142,131
550,160,191,147,148
551,149,235,236,249
552,54,89,84,86
553,38,58,43,53
554,290,386,361,356
555,392,282,239,180
556,32,45,52,48
557,220,147,138,135
558,55,88,95,99
