activity id,hotspot/street block ID
86117,69
86118,73
86119,73
86120,77
86121,77
86122,80
86123,85
86124,85
86125,85
86126,89
86127,89
86128,89
86129,90
86130,90
86131,90
86132,90
86133,90
86134,90
86135,90
86136,90
86137,90
86138,93
86139,96
86140,96
86141,96
86142,99
86143,99
86144,99
86145,99
86146,99
86147,99
86148,99
86149,99
86150,99
86151,102
86152,102
86153,103
86154,103
86155,104
86156,104
86157,104
86158,104
86159,104
86160,104
86161,105
86162,105
86163,105
86164,105
86165,105
86166,105
86167,105
86168,105
86169,107
86170,107
86171,107
86172,107
86173,107
86174,107
86175,107
86176,107
86177,107
86178,108
86179,108
86180,108
86181,108
86182,110
86183,110
86184,110
86185,110
86186,112
86187,112
86188,112
86189,114
86190,114
86191,114
86192,114
86193,114
86194,114
86195,114
86196,115
86197,115
86198,115
86199,115
86200,115
86201,115
86202,115
86203,115
86204,116
86205,117
86206,117
86207,117
86208,117
86209,118
86210,118
86211,118
86212,118
86213,118
86214,120
86215,124
86216,124
86217,124
86218,124
86219,124
86220,125
86221,127
86222,127
86223,127
86224,127
86225,128
86226,129
86227,129
86228,130
86229,130
86230,131
86231,131
86232,133
86233,134
86234,134
86235,134
86236,135
86237,136
86238,136
86239,137
86240,137
86241,140
86242,140
86243,141
86244,141
86245,143
86246,143
86247,143
86248,143
86249,143
86250,143
86251,146
86252,146
86253,149
86254,151
86255,151
86256,152
86257,153
86258,153
86259,154
86260,159
86261,159
86262,160
86263,160
86264,161
86265,162
86266,162
86267,162
86268,162
86269,162
86270,165
86271,165
86272,165
86273,168
86274,168
86275,170
86276,170
86277,170
86278,170
86279,174
86280,174
86281,174
86282,176
86283,176
86284,177
86285,179
86286,179
86287,179
86288,179
86289,179
86290,180
86291,181
86292,181
86293,181
86294,181
86295,186
86296,189
86297,189
86298,189
86299,189
86300,189
86301,189
86302,194
86303,194
86304,196
86305,196
86306,196
86307,196
86308,207
86309,207
86310,207
86311,208
86312,208
86313,208
86314,208
86315,208
86316,211
86317,211
86318,211
86319,216
86320,216
86321,216
86322,216
86323,216
86324,216
86325,219
86326,219
86327,219
86328,219
86329,223
86330,223
86331,229
86332,233
86333,233
86334,235
86335,235
86336,235
86337,235
86338,237
86339,237
86340,238
86341,238
86342,238
86343,238
86344,238
86345,238
86346,243
86347,243
86348,244
86349,244
86350,244
86351,244
86352,244
86353,246
86354,248
86355,248
86356,255
86357,256
86358,256
86359,257
86360,257
86361,257
86362,257
86363,257
86364,260
86365,260
86366,260
86367,262
86368,262
86369,264
86370,264
86371,264
86372,265
86373,265
86374,265
86375,265
86376,265
86377,265
86378,265
86379,265
86380,265
86381,265
86382,266
86383,266
86384,267
86385,267
86386,269
86387,269
86388,269
86389,269
86390,269
86391,269
86392,272
86393,272
86394,275
86395,275
86396,275
86397,278
86398,278
86399,278
86400,279
86401,280
86402,282
86403,283
86404,283
86405,283
86406,283
86407,285
86408,285
86409,287
86410,288
86411,288
86412,291
86413,292
86414,292
86415,293
86416,293
86417,293
86418,293
86419,293
86420,293
86421,293
86422,293
86423,294
86424,295
86425,295
86426,295
86427,295
86428,295
86429,295
86430,295
86431,295
86432,295
86433,298
86434,298
86435,298
86436,298
86437,300
86438,300
86439,301
86440,301
86441,313
86442,313
86443,313
86444,314
86445,314
