ID,activity_id,NAME,SUBURB,X,Y,TYPE,hotspotID,near_bus,near_train,note
0,86117,La Perouse_ Anzac Pde Terminus,None,336840,6237772,Bus station,69,1,1,BUS_STOP
1,86118,La Perouse_ Anzac Pde opp Endeavour Av,None,336936,6237993,Bus station,73,1,1,BUS_STOP
2,86119,La Perouse_ Anzac Pde nr Endeavour Av,None,336928,6238036,Bus station,73,1,1,BUS_STOP
3,86120,Phillip Bay_ Anzac Pde nr Elaroo Av,None,337003,6238213,Bus station,77,1,1,BUS_STOP
4,86121,Little Bay_ Anzac Pde nr Grose St,None,337023,6238198,Bus station,77,1,1,BUS_STOP
5,86122,Little Bay_ Anzac Pde nr Budd Av,None,337477,6238473,Bus station,80,1,1,BUS_STOP
6,86123,Phillip Bay_ Bunnerong Rd nr Anzac Pde,None,337108,6238470,Bus station,85,1,1,BUS_STOP
7,86124,Phillip Bay_ Anzac Pde nr Canara Av,None,337060,6238390,Bus station,85,1,1,BUS_STOP
8,86125,Little Bay_ Anzac Pde nr Bunnerong Rd,None,337104,6238405,Bus station,85,1,1,BUS_STOP
9,86126,Little Bay_ Anzac Pde nr Budd Av,None,337458,6238533,Bus station,89,1,1,BUS_STOP
10,86127,Little Bay_ Mirrabooka Cr nr Bega Av,None,337473,6238624,Bus station,89,1,1,BUS_STOP
11,86128,Phillip Bay_ Bunnerong Rd nr Yarra Rd,None,337135,6238671,Bus station,89,1,1,BUS_STOP
12,86129,Little Bay_ Anzac Pde nr Jennifer St,None,337686,6238489,Bus station,90,1,1,BUS_STOP
13,86130,Little Bay_ Anzac Pde nr Jennifer St,None,337670,6238541,Bus station,90,1,1,BUS_STOP
14,86131,Little Bay_ Anzac Pde nr Little Bay Rd,None,337795,6238635,Bus station,90,1,1,BUS_STOP
15,86132,Little Bay_ Anzac Pde nr Little Bay Rd,None,337846,6238615,Bus station,90,1,1,BUS_STOP
16,86133,Little Bay_ Mirrabooka Cr nr Woonah St,None,337691,6238664,Bus station,90,1,1,BUS_STOP
17,86134,Little Bay_ Mirrabooka Cr nr Alkoo Av,None,337564,6238636,Bus station,90,1,1,BUS_STOP
18,86135,Little Bay_ Mirrabooka Cr nr Alkoo Av,None,337555,6238651,Bus station,90,1,1,BUS_STOP
19,86136,Little Bay_ Mirrabooka Cr nr Woonah St,None,337680,6238677,Bus station,90,1,1,BUS_STOP
20,86137,Little Bay_ Mirrabooka Cr nr Little Bay Rd,None,337745,6238789,Bus station,90,1,1,BUS_STOP
21,86138,Phillip Bay_ Yarra Rd nr Anzac Pde,None,337031,6238715,Bus station,93,1,1,BUS_STOP
22,86139,Little Bay_ Woomera Rd nr Bega Av,None,337443,6238752,Bus station,96,1,1,BUS_STOP
23,86140,Little Bay_ Woomera Rd nr Bega Av,None,337448,6238728,Bus station,96,1,1,BUS_STOP
24,86141,Matraville_ Bunnerong Rd nr Little Bay Rd,None,337102,6239078,Bus station,96,1,1,BUS_STOP
25,86142,Little Bay_ Mirrabooka Cr nr Little Bay Rd,None,337746,6238815,Bus station,99,1,1,BUS_STOP
26,86143,Little Bay_ Woomera Rd nr Woonah St,None,337506,6238844,Bus station,99,1,1,BUS_STOP
27,86144,Chifley_ Little Bay Rd nr Anzac Pde,None,337754,6238847,Bus station,99,1,1,BUS_STOP
28,86145,Little Bay_ Little Bay Rd nr Mirrabooka Cr,None,337726,6238839,Bus station,99,1,1,BUS_STOP
29,86146,Little Bay_ Woomera Rd nr Woonah St,None,337543,6238866,Bus station,99,1,1,BUS_STOP
30,86147,Chifley_ Anzac Pde nr McKenzie Av,None,337753,6238909,Bus station,99,1,1,BUS_STOP
31,86148,Little Bay_ Little Bay Rd nr Nurla Av,None,337497,6239000,Bus station,99,1,1,BUS_STOP
32,86149,Chifley_ Little Bay Rd nr Lasseter Av,None,337468,6239044,Bus station,99,1,1,BUS_STOP
33,86150,Little Bay_ Anzac Pde nr Nyan St,None,337784,6238952,Bus station,99,1,1,BUS_STOP
34,86151,Malabar_ Bilga Cr nr Calga Av,None,338133,6239343,Bus station,102,1,1,BUS_STOP
35,86152,Malabar_ Bilga Cr nr Calga Av,None,338150,6239361,Bus station,102,1,1,BUS_STOP
36,86153,Malabar_ Bilga Cr nr Karoo Pl,None,337873,6239376,Bus station,103,1,1,BUS_STOP
37,86154,Malabar_ Bilga Cr nr Karoo Pl,None,337894,6239392,Bus station,103,1,1,BUS_STOP
38,86155,Chifley_ Anzac Pde nr Nyan St,None,337640,6239127,Bus station,104,1,1,BUS_STOP
39,86156,Chifley_ Anzac Pde nr Kenny Av,None,337626,6239415,Bus station,104,1,1,BUS_STOP
40,86157,Malabar_ Anzac Pde nr Bilga Cr,None,337679,6239409,Bus station,104,1,1,BUS_STOP
41,86158,Little Bay_ Anzac nr Nyan,None,337680,6239189,Bus station,104,1,1,BUS_STOP
42,86159,Malabar_ Bilga Cr nr Anzac Pde,None,337698,6239441,Bus station,104,1,1,BUS_STOP
43,86160,Malabar_ Bilga Cr nr Anzac Pde,None,337705,6239459,Bus station,104,1,1,BUS_STOP
44,86161,Malabar_ Bilga Cr nr Eucla Cr,None,338672,6239174,Bus station,105,1,1,BUS_STOP
45,86162,Malabar_ Bilga Cr nr Woli Pl,None,338394,6239253,Bus station,105,1,1,BUS_STOP
46,86163,Malabar_ Bilga Cr nr Eucla Cr,None,338663,6239192,Bus station,105,1,1,BUS_STOP
47,86164,Malabar_ Bilga Cr nr Byna St,None,338372,6239287,Bus station,105,1,1,BUS_STOP
48,86165,Malabar_ Bilga Cr nr Nix Av,None,338600,6239376,Bus station,105,1,1,BUS_STOP
49,86166,Malabar_ Bilga Cr nr Prince Edward St,None,338754,6239351,Bus station,105,1,1,BUS_STOP
50,86167,Malabar_ Bilga Cr nr Prince Edward St,None,338727,6239337,Bus station,105,1,1,BUS_STOP
51,86168,Malabar_ Nix Av nr Bilga Cr,None,338552,6239426,Bus station,105,1,1,BUS_STOP
52,86169,Chifley_ Hastings Av nr Hall St,None,337355,6239361,Bus station,107,1,1,BUS_STOP
53,86170,Chifley_ Hastings Av nr Little Bay Rd,None,337363,6239141,Bus station,107,1,1,BUS_STOP
54,86171,Chifley_ Hastings Av nr Little Bay Rd,None,337348,6239161,Bus station,107,1,1,BUS_STOP
55,86172,Chifley_ Hastings Av nr Hall St,None,337341,6239347,Bus station,107,1,1,BUS_STOP
56,86173,Chifley_ Bunnerong Rd opp Botany Cemetery,None,337115,6239407,Bus station,107,1,1,BUS_STOP
57,86174,Chifley_ Bunnerong Rd nr Little Bay Rd,None,337115,6239174,Bus station,107,1,1,BUS_STOP
58,86175,Chifley_ Hastings Av nr Macquarie St,None,337245,6239573,Bus station,107,1,1,BUS_STOP
59,86176,Chifley_ Macquarie St nr Hastings Av,None,337243,6239618,Bus station,107,1,1,BUS_STOP
60,86177,Matraville_ Bunnerong Rd nr Botany Cemetery,None,337053,6239436,Bus station,107,1,1,BUS_STOP
61,86178,Matraville_ Military Rd nr Botany Cemetery,None,336211,6239389,Bus station,108,1,1,BUS_STOP
62,86179,Matraville_ Military Rd opp Botany Cemetery,None,336196,6239400,Bus station,108,1,1,BUS_STOP
63,86180,Matraville_ Military Rd nr Millennium Ct,None,336375,6239545,Bus station,108,1,1,BUS_STOP
64,86181,Matraville_ Military Rd opp Millennium Ct,None,336369,6239563,Bus station,108,1,1,BUS_STOP
65,86182,Malabar_ Nix Av nr Adams Av,None,338484,6239617,Bus station,110,1,1,BUS_STOP
66,86183,Malabar_ Nix Av nr Adams Av,None,338497,6239655,Bus station,110,1,1,BUS_STOP
67,86184,Malabar_ Zions Av nr Prince Edward St,None,338601,6239714,Bus station,110,1,1,BUS_STOP
68,86185,Malabar_ Prince Edward St nr Zion Av,None,338629,6239758,Bus station,110,1,1,BUS_STOP
69,86186,Port Botany_ Bumborah Point Rd nr Friendship Rd,None,335960,6239576,Bus station,112,1,1,BUS_STOP
