STREET,ROADTYPE,Name,roadid
MEAGHER AV,304,Meagher Av,99
MEAGHER AV,304,Meagher Av,100
MALABAR RD,302,Malabar Rd,101
TYRWHITT ST,304,Tyrwhitt St,103
TYRWHITT ST,304,Tyrwhitt St,104
PETERS PL,304,Peters Pl,174
CURTIN CR,304,Curtin Cr,175
BROOME ST,304,Broome St,176
RODMAN AV,304,Rodman Av,177
MEAGHER AV,304,Meagher Av,178
MCIVER PL,304,Mciver Pl,179
RODMAN AV,304,Rodman Av,180
RODMAN AV,304,Rodman Av,181
RODMAN AV,304,Rodman Av,182
BROOME ST,304,Broome St,186
BROOME ST,304,Broome St,187
THOMPSON AV,304,Thompson Av,188
BROOME ST,304,Broome St,189
BROOME ST,304,Broome St,190
BROOME AV,304,Broome Av,191
BROOME ST,304,Broome St,192
ROUNDABOUT,302,Roundabout,206
ROUNDABOUT,302,Roundabout,207
ROUNDABOUT,302,Roundabout,208
BEAUCHAMP RD,304,Beauchamp Rd,271
MALABAR RD,304,Malabar Rd,272
BEAUCHAMP RD,302,Beauchamp Rd,278
MALABAR RD,302,Malabar Rd,279
POZIERES AV,303,Pozieres Av,387
ANZAC PDE,302,Anzac Pde,846
ANZAC PDE,302,Anzac Pde,847
KAIN AV,304,Kain Av,848
ANZAC PDE,302,Anzac Pde,854
BEAUCHAMP RD,302,Beauchamp Rd,898
BEAUCHAMP RD,302,Beauchamp Rd,962
BEAUCHAMP RD,302,Beauchamp Rd,964
STRICKLAND AV,304,Strickland Av,965
FORD RD,304,Ford Rd,1007
BROOME ST,304,Broome St,1008
BROWN RD,304,Brown Rd,1009
PATH,400,Path,1104
HARGRAVES PL,304,Hargraves Pl,1108
DAVIDSON CR,304,Davidson Cr,1109
BEAUCHAMP RD,304,Beauchamp Rd,1110
WHITE AV,304,White Av,1116
BEAUCHAMP RD,304,Beauchamp Rd,1117
DAVIDSON CR,304,Davidson Cr,1118
CHELMSFORD AV,304,Chelmsford Av,1119
CHELMSFORD AV,304,Chelmsford Av,1120
CHELMSFORD AV,304,Chelmsford Av,1121
BENNETT PL,304,Bennett Pl,1122
WHITE AV,304,White Av,1123
FARTHING PL,304,Farthing Pl,1124
WHITE AV,304,White Av,1125
HUGHES AV,304,Hughes Av,1126
HUGHES AV,304,Hughes Av,1127
MALABAR RD,304,Malabar Rd,1128
BOWEN PL,304,Bowen Pl,1129
MANWARING AV,304,Manwaring Av,1130
MANWARING AV,304,Manwaring Av,1131
MANWARING AV,304,Manwaring Av,1164
BROOME ST,304,Broome St,1298
CURTIN CR,304,Curtin Cr,1426
DAN AV,304,Dan Av,1427
BROOME ST,304,Broome St,1428
BROOME ST,304,Broome St,1429
FORD RD,304,Ford Rd,1430
BROOME ST,304,Broome St,1431
BYRNE CR,304,Byrne Cr,1432
