hhID, personID, tripID
309,630,2
309,629,2
309,630,1
309,629,1
281,574,9
281,573,9
281,574,8
281,573,8
281,574,7
281,573,7
281,574,5
281,573,5
281,574,4
281,573,4
281,574,3
281,573,3
281,574,2
281,573,2
281,574,1
281,573,1
281,574,6
281,573,6
282,576,5
282,575,3
282,576,4
282,575,2
282,576,3
282,575,1
282,576,6
282,575,4
288,588,5
288,587,3
295,602,1
295,601,1
295,602,2
295,601,2
268,534,2
268,535,4
268,534,1
268,535,3
268,534,8
268,535,7
268,534,6
268,535,5
268,534,7
268,535,6
296,603,2
296,604,2
296,603,1
296,604,1
296,603,3
296,604,3
287,586,2
287,585,2
287,586,1
287,585,1
269,537,1
269,631,1
301,613,5
301,614,7
301,613,4
301,614,6
301,613,3
301,614,5
307,625,5
307,626,6
307,625,4
307,626,5
307,625,6
307,626,7
290,591,1
290,592,1
290,591,2
290,592,2
290,591,3
290,592,3
297,605,2
297,606,4
297,605,1
297,606,3
300,612,6
300,632,2
300,612,7
300,632,3
300,612,1
300,632,1
272,546,4
272,547,4
272,546,6
272,547,6
272,546,5
272,547,5
308,627,6
308,628,9
308,627,5
308,628,8
279,569,2
279,568,2
279,569,1
279,568,1
298,607,2
298,608,4
298,607,3
298,608,5
298,607,1
298,608,3
298,607,4
298,608,6
299,610,3
299,609,3
299,610,1
299,609,1
299,610,2
299,609,2
299,610,4
299,609,4
289,590,1
289,589,1
289,590,4
289,589,8
289,590,3
289,589,7
289,590,6
289,589,10
289,590,5
289,589,9
270,541,1
270,540,1
270,541,2
270,540,2
271,543,2
271,545,4
271,543,1
271,545,3
277,562,1
277,563,1
277,562,2
277,563,2
292,596,3
292,595,3
292,596,2
292,595,2
292,596,4
292,595,4
276,560,2
276,559,2
276,560,4
276,559,4
276,560,3
276,559,3
276,560,5
276,559,5
276,560,1
276,559,1
293,597,3
293,598,3
293,597,2
293,598,2
293,597,1
293,598,1
286,584,2
286,583,2
286,584,1
286,583,1
286,633,1
286,584,3
286,583,3
286,584,6
286,583,6
286,633,2
286,584,5
286,583,5
286,584,4
286,583,4
275,557,1
275,556,1
275,557,3
275,556,4
304,620,4
304,619,5
304,620,3
304,619,4
304,620,2
304,619,3
304,620,8
304,619,8
304,620,1
304,619,1
304,620,7
304,619,7
